Product_Name,Category,State,Old_Packaging,Old_CO2_Score,New_Packaging,New_CO2_Score
Spinach,FreshProduce,Solid,Plastic Clamshell,3.82,Compostable Tray,0.74
Potatoes,FreshProduce,Solid,Styrofoam Box,4.6,Cloth Bag,0.6
Face Cream,PersonalCare,Solid,Polythene Bag,3.7,Cardboard Box,2.17
Smartwatch,Electronics,Solid,Metalized Plastic Pouch,4.3,Molded Pulp Tray,0.9
Soap,PersonalCare,Liquid,Styrofoam Box,4.93,Glass Bottle,1.04
Smartwatch,Electronics,Solid,Non-recyclable Plastic Bottle,3.9,Recyclable Cardboard Box,0.86
USB Cable,Electronics,Solid,PVC Packaging,4.15,Biodegradable Cushioning,0.71
Potatoes,FreshProduce,Solid,Non-recyclable Plastic Bottle,3.68,Jute Bag,0.89
Shampoo,PersonalCare,Solid,Plastic Packet (Non-degradable),4.24,Cardboard Box,2.25
Orange,Fruits,Solid,Shrink Wrap,3.82,Jute Bag,0.83
Potatoes,FreshProduce,Solid,Metalized Plastic Pouch,3.96,Cloth Bag,0.65
Wheat,Grains,Solid,Non-recyclable Film,4.44,Cloth Bag,0.8
Beer,Beverage,Liquid,PVC Packaging,4.25,Aluminum Can,1.77
Mango,Fruits,Solid,Metalized Plastic Pouch,3.7,Recyclable Cardboard Box,1.07
Chocolate,Snacks,Solid,Polythene Bag,4.09,Biodegradable Plastic Wrapper,1.01
Phone Charger,Electronics,Solid,Non-recyclable Film,4.44,Recyclable Cardboard Box,1.18
Lentils,Grains,Solid,Polythene Bag,4.35,Paper Sack,1.04
Sugar,Cooking,Liquid,Non-recyclable Plastic Bottle,4.33,Aluminum Can,1.97
Smartwatch,Electronics,Solid,Plastic Packet (Non-degradable),4.03,Biodegradable Cushioning,0.8
Tomatoes,FreshProduce,Solid,Shrink Wrap,3.81,Compostable Tray,0.81
Banana,Fruits,Solid,Non-recyclable Film,4.26,Compostable Net Bag,0.81
Biscuits,Snacks,Solid,Non-recyclable Plastic Bottle,4.23,Recyclable Cardboard Box,0.9
Banana,Fruits,Solid,Plastic Packet (Non-degradable),4.04,Cloth Bag,0.9
Banana,Fruits,Solid,Non-recyclable Plastic Bottle,4.37,Compostable Net Bag,0.68
Spices,Cooking,Solid,Shrink Wrap,4.22,Jute Bag,0.84
Banana,Fruits,Solid,PVC Packaging,4.09,Paper Tray,1.14
Tomatoes,FreshProduce,Solid,Plastic Packet (Non-degradable),3.58,Cloth Bag,0.68
Rice,Grains,Solid,Polythene Bag,4.45,Cloth Bag,0.64
Flour,Cooking,Liquid,Polythene Bag,4.33,Aluminum Can,1.71
Smartwatch,Electronics,Solid,Styrofoam Box,4.21,Paper Wrap,0.98
Beer,Beverage,Liquid,Shrink Wrap,3.75,Glass Bottle,1.25
Lentils,Grains,Solid,Polythene Bag,3.86,Paper Sack,1.1
Beer,Beverage,Liquid,Plastic Clamshell,4.27,Biodegradable Pouch,0.87
Conditioner,PersonalCare,Solid,Plastic Packet (Non-degradable),4.28,Cardboard Box,2.48
Milk,Beverage,Liquid,Plastic Clamshell,3.98,Paper Carton,1.07
Chips,Snacks,Solid,Plastic Packet (Non-degradable),4.07,Biodegradable Plastic Wrapper,1.1
Smartwatch,Electronics,Solid,Plastic Clamshell,4.06,Recyclable Cardboard Box,1.18
Banana,Fruits,Solid,Styrofoam Box,4.2,Cloth Bag,0.86
Grapes,Fruits,Solid,Polythene Bag,3.85,Recyclable Cardboard Box,0.81
Orange,Fruits,Solid,Styrofoam Box,4.35,Paper Tray,1.05
Chips,Snacks,Solid,Styrofoam Box,4.47,Biodegradable Plastic Wrapper,0.83
Juice,Beverage,Liquid,Polythene Bag,3.5,Biodegradable Pouch,0.97
Beer,Beverage,Liquid,Non-recyclable Plastic Bottle,4.11,Paper Carton,0.89
Barley,Grains,Solid,Non-recyclable Plastic Bottle,3.98,Jute Bag,0.84
Mango,Fruits,Solid,Plastic Clamshell,4.46,Paper Tray,1.03
Spinach,FreshProduce,Solid,Metalized Plastic Pouch,4.15,Cloth Bag,0.71
Apple,Fruits,Solid,Polythene Bag,3.75,Compostable Net Bag,0.62
Potatoes,FreshProduce,Solid,PVC Packaging,3.99,Jute Bag,0.73
Beer,Beverage,Liquid,Plastic Clamshell,4.28,Recycled Plastic Bottle,1.48
Onions,FreshProduce,Solid,Shrink Wrap,4.01,Paper Pouch,1.15
Orange,Fruits,Solid,Polythene Bag,4.45,Recyclable Cardboard Box,0.99
Face Cream,PersonalCare,Solid,Polythene Bag,3.52,Biodegradable Plastic Wrapper,0.95
Biscuits,Snacks,Solid,Shrink Wrap,3.98,Recyclable Cardboard Box,1.06
Spinach,FreshProduce,Solid,Non-recyclable Plastic Bottle,3.97,Jute Bag,0.74
Shampoo,PersonalCare,Solid,Polythene Bag,4.05,Cardboard Box,2.03
Energy Drink,Beverage,Liquid,Non-recyclable Plastic Bottle,3.62,Aluminum Can,1.86
Oil,Cooking,Solid,Plastic Clamshell,3.75,Jute Bag,0.97
Smartwatch,Electronics,Solid,Styrofoam Box,4.96,Paper Wrap,1.06
Sugar,Cooking,Liquid,Metalized Plastic Pouch,4.05,Recycled Plastic Bottle,1.24
Rice,Grains,Solid,Plastic Packet (Non-degradable),3.94,Cloth Bag,0.99
Juice,Beverage,Liquid,PVC Packaging,3.65,Aluminum Can,1.63
Phone Charger,Electronics,Solid,Metalized Plastic Pouch,4.34,Recyclable Cardboard Box,1.19
Flour,Cooking,Solid,PVC Packaging,4.17,Cloth Bag,0.81
Face Cream,PersonalCare,Liquid,Plastic Packet (Non-degradable),4.05,Paper Carton,0.84
Oats,Grains,Solid,Shrink Wrap,3.53,Paper Sack,1.15
Flour,Cooking,Liquid,Polythene Bag,4.46,Recycled Plastic Bottle,1.73
Conditioner,PersonalCare,Solid,Plastic Clamshell,4.42,Cardboard Box,2.4
Spices,Cooking,Liquid,Non-recyclable Film,4.04,Biodegradable Pouch,0.86
Wheat,Grains,Solid,PVC Packaging,4.49,Jute Bag,0.9
Smartwatch,Electronics,Solid,Non-recyclable Film,4.12,Molded Pulp Tray,0.93
Energy Drink,Beverage,Liquid,Non-recyclable Plastic Bottle,3.64,Aluminum Can,1.91
Earphones,Electronics,Solid,Non-recyclable Plastic Bottle,4.14,Biodegradable Cushioning,0.67
Lentils,Grains,Solid,Shrink Wrap,3.55,Jute Bag,0.86
Soft Drink,Beverage,Liquid,Styrofoam Box,4.09,Biodegradable Pouch,0.67
Energy Drink,Beverage,Liquid,Non-recyclable Film,3.53,Recycled Plastic Bottle,1.77
Barley,Grains,Solid,Styrofoam Box,4.6,Jute Bag,0.62
Potatoes,FreshProduce,Solid,PVC Packaging,3.99,Compostable Tray,0.75
Face Cream,PersonalCare,Solid,Plastic Packet (Non-degradable),4.47,Paper Wrap,0.88
Salt,Cooking,Liquid,PVC Packaging,4.33,Biodegradable Pouch,0.73
Potatoes,FreshProduce,Solid,Non-recyclable Plastic Bottle,3.64,Jute Bag,0.61
Flour,Cooking,Liquid,Shrink Wrap,4.28,Glass Bottle,1.11
Popcorn,Snacks,Solid,Metalized Plastic Pouch,3.7,Recyclable Cardboard Box,0.97
Beer,Beverage,Liquid,PVC Packaging,4.44,Paper Carton,0.85
Apple,Fruits,Solid,Plastic Packet (Non-degradable),3.66,Paper Tray,0.87
Wheat,Grains,Solid,PVC Packaging,4.14,Jute Bag,0.89
Face Cream,PersonalCare,Liquid,Polythene Bag,3.5,Glass Bottle,1.01
Barley,Grains,Solid,Shrink Wrap,3.79,Cloth Bag,0.67
Spinach,FreshProduce,Solid,Shrink Wrap,3.82,Compostable Tray,0.93
Soap,PersonalCare,Solid,Metalized Plastic Pouch,4.03,Paper Wrap,1.17
Chocolate,Snacks,Solid,Plastic Clamshell,4.19,Cloth Bag,0.63
Grapes,Fruits,Solid,PVC Packaging,4.46,Jute Bag,0.61
USB Cable,Electronics,Solid,Plastic Packet (Non-degradable),3.54,Paper Wrap,0.89
Salt,Cooking,Liquid,Plastic Clamshell,3.99,Glass Bottle,1.02
Barley,Grains,Solid,Metalized Plastic Pouch,3.75,Jute Bag,0.76
Popcorn,Snacks,Solid,Plastic Packet (Non-degradable),3.6,Cloth Bag,0.83
Banana,Fruits,Solid,Styrofoam Box,4.24,Jute Bag,0.99
Juice,Beverage,Liquid,PVC Packaging,4.15,Glass Bottle,1.26
Rice,Grains,Solid,Non-recyclable Plastic Bottle,4.19,Paper Sack,1.07
Beer,Beverage,Liquid,PVC Packaging,3.6,Glass Bottle,1.38
Tomatoes,FreshProduce,Solid,Plastic Packet (Non-degradable),4.33,Cloth Bag,0.97
Popcorn,Snacks,Solid,Styrofoam Box,4.61,Cloth Bag,0.6
Rice,Grains,Solid,Plastic Clamshell,4.29,Reusable Container,1.09
Conditioner,PersonalCare,Solid,Polythene Bag,3.93,Paper Wrap,0.81
Soft Drink,Beverage,Liquid,Plastic Clamshell,4.41,Recycled Plastic Bottle,1.75
Juice,Beverage,Liquid,Metalized Plastic Pouch,4.01,Biodegradable Pouch,0.83
Soft Drink,Beverage,Liquid,Non-recyclable Film,4.18,Biodegradable Pouch,0.86
Salt,Cooking,Solid,Metalized Plastic Pouch,3.8,Paper Sack,0.84
Sugar,Cooking,Solid,Metalized Plastic Pouch,4.24,Jute Bag,0.93
Lentils,Grains,Solid,PVC Packaging,4.0,Jute Bag,0.67
Onions,FreshProduce,Solid,Plastic Packet (Non-degradable),3.74,Compostable Tray,0.74
Chocolate,Snacks,Solid,Shrink Wrap,4.35,Paper Pouch,1.05
Phone Charger,Electronics,Solid,Plastic Packet (Non-degradable),3.97,Paper Wrap,1.15
Apple,Fruits,Solid,Polythene Bag,3.54,Paper Tray,1.19
Toothpaste,PersonalCare,Solid,PVC Packaging,3.7,Biodegradable Plastic Wrapper,1.02
Earphones,Electronics,Solid,Styrofoam Box,4.83,Paper Wrap,0.95
Apple,Fruits,Solid,Metalized Plastic Pouch,4.1,Cloth Bag,0.92
Power Bank,Electronics,Solid,Non-recyclable Plastic Bottle,3.78,Biodegradable Cushioning,0.83
Lentils,Grains,Solid,Shrink Wrap,4.3,Jute Bag,0.85
Chips,Snacks,Solid,Non-recyclable Film,3.88,Cloth Bag,0.66
Lentils,Grains,Solid,Non-recyclable Plastic Bottle,4.24,Jute Bag,0.61
Oats,Grains,Solid,Non-recyclable Film,3.61,Cloth Bag,0.98
Milk,Beverage,Liquid,Metalized Plastic Pouch,4.19,Glass Bottle,1.26
Earphones,Electronics,Solid,Non-recyclable Film,4.14,Recyclable Cardboard Box,0.97
Onions,FreshProduce,Solid,Plastic Packet (Non-degradable),4.42,Compostable Tray,0.95
Tomatoes,FreshProduce,Solid,Plastic Packet (Non-degradable),4.45,Paper Pouch,1.19
Oil,Cooking,Liquid,Polythene Bag,4.07,Aluminum Can,1.83
Orange,Fruits,Solid,Metalized Plastic Pouch,3.96,Paper Tray,0.88
Sugar,Cooking,Liquid,Plastic Packet (Non-degradable),3.98,Glass Bottle,1.41
Cookies,Snacks,Solid,Plastic Clamshell,4.36,Biodegradable Plastic Wrapper,1.14
Conditioner,PersonalCare,Liquid,Non-recyclable Plastic Bottle,4.29,Aluminum Tube,1.74
Soft Drink,Beverage,Liquid,Non-recyclable Film,3.86,Glass Bottle,1.43
Potatoes,FreshProduce,Solid,Non-recyclable Plastic Bottle,4.27,Compostable Tray,0.98
Oil,Cooking,Solid,PVC Packaging,4.18,Paper Sack,0.82
Smartwatch,Electronics,Solid,Styrofoam Box,4.73,Molded Pulp Tray,0.79
Oats,Grains,Solid,Styrofoam Box,4.46,Cloth Bag,0.79
Soft Drink,Beverage,Liquid,Non-recyclable Film,4.11,Biodegradable Pouch,0.66
Spices,Cooking,Solid,Plastic Clamshell,4.32,Paper Sack,0.93
Orange,Fruits,Solid,PVC Packaging,3.65,Recyclable Cardboard Box,0.81
Salt,Cooking,Solid,PVC Packaging,3.51,Jute Bag,0.64
Spinach,FreshProduce,Solid,Non-recyclable Film,4.3,Compostable Tray,0.81
Juice,Beverage,Liquid,Polythene Bag,4.16,Recycled Plastic Bottle,1.62
Spices,Cooking,Liquid,PVC Packaging,3.98,Glass Bottle,1.08
Smartwatch,Electronics,Solid,Plastic Packet (Non-degradable),3.72,Paper Wrap,0.88
Salt,Cooking,Liquid,Styrofoam Box,4.53,Biodegradable Pouch,0.72
Rice,Grains,Solid,Styrofoam Box,4.21,Reusable Container,0.99
Barley,Grains,Solid,Non-recyclable Film,4.13,Paper Sack,0.86
Flour,Cooking,Solid,Plastic Packet (Non-degradable),4.4,Paper Sack,1.14
Soft Drink,Beverage,Liquid,Plastic Packet (Non-degradable),3.81,Paper Carton,1.14
Toothpaste,PersonalCare,Liquid,Non-recyclable Plastic Bottle,3.8,Recycled Plastic Bottle,1.36
Lentils,Grains,Solid,Shrink Wrap,3.66,Jute Bag,0.99
Orange,Fruits,Solid,Shrink Wrap,4.46,Jute Bag,0.96
Beer,Beverage,Liquid,Plastic Clamshell,3.59,Recycled Plastic Bottle,1.41
Lentils,Grains,Solid,Styrofoam Box,4.44,Reusable Container,0.99
Oil,Cooking,Solid,Styrofoam Box,4.06,Paper Sack,1.19
Wheat,Grains,Solid,Metalized Plastic Pouch,4.41,Reusable Container,1.06
Spinach,FreshProduce,Solid,Plastic Clamshell,3.92,Compostable Tray,0.97
Milk,Beverage,Liquid,Non-recyclable Film,3.56,Recycled Plastic Bottle,1.78
Orange,Fruits,Solid,Polythene Bag,3.88,Cloth Bag,0.68
Rice,Grains,Solid,Shrink Wrap,3.89,Jute Bag,0.7
Face Cream,PersonalCare,Solid,Plastic Packet (Non-degradable),4.42,Cardboard Box,2.59
Tomatoes,FreshProduce,Solid,Metalized Plastic Pouch,3.57,Jute Bag,0.81
Biscuits,Snacks,Solid,Styrofoam Box,4.17,Biodegradable Plastic Wrapper,0.93
Power Bank,Electronics,Solid,Non-recyclable Plastic Bottle,3.97,Recyclable Cardboard Box,1.08
Spices,Cooking,Liquid,PVC Packaging,3.59,Biodegradable Pouch,0.71
Grapes,Fruits,Solid,Metalized Plastic Pouch,3.6,Jute Bag,0.76
Sugar,Cooking,Liquid,Plastic Packet (Non-degradable),4.33,Aluminum Can,1.58
Conditioner,PersonalCare,Liquid,Plastic Clamshell,4.23,Glass Bottle,1.2
Phone Charger,Electronics,Solid,Plastic Clamshell,3.63,Recyclable Cardboard Box,1.14
Smartwatch,Electronics,Solid,Plastic Clamshell,3.83,Biodegradable Cushioning,0.78
Chips,Snacks,Solid,Plastic Packet (Non-degradable),4.42,Recyclable Cardboard Box,0.89
Onions,FreshProduce,Solid,Metalized Plastic Pouch,4.28,Compostable Tray,0.72
Sugar,Cooking,Solid,Plastic Clamshell,3.59,Jute Bag,0.93
Earphones,Electronics,Solid,Shrink Wrap,3.7,Recyclable Cardboard Box,1.19
Biscuits,Snacks,Solid,Plastic Clamshell,4.03,Cloth Bag,0.78
Grapes,Fruits,Solid,Non-recyclable Film,3.53,Compostable Net Bag,0.98
Face Cream,PersonalCare,Liquid,Non-recyclable Film,3.64,Aluminum Tube,1.99
Cookies,Snacks,Solid,Plastic Packet (Non-degradable),3.88,Paper Pouch,1.14
Sugar,Cooking,Solid,Non-recyclable Film,3.86,Cloth Bag,0.75
